ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
j bʲ	0.0	2	36528	3704	0.5
ts s	0.0	4	14887	36779	0.125
n bʲ	0.0	2	37273	3704	0.5
ts n	0.0	4	14887	37273	0.125
j p	0.0	5	36528	24288	0.062
rʲ b	0.0	2	16772	9086	0.5
n rʲ	0.0	4	37273	16772	0.125
ʐ vʲ	0.0	1	5455	7473	1.0
t d	0.0	3	31043	11859	0.25
f vʲ	0.0	1	5763	7473	1.0
k f	0.0	2	30932	5763	0.5
ts v	0.0	3	14887	27065	0.25
dʲ k	0.0	2	5952	30932	0.5
ɡ ʐ	0.0	1	9126	5455	1.0
tʲ dʲ	0.0	2	33763	5952	0.5
ts z	0.0	2	14887	13880	0.5
mʲ s	0.0	2	6233	36779	0.5
n mʲ	0.0	2	37273	6233	0.5
ʂ b	0.0	1	6618	9086	1.0
ɡ ʂ	0.0	1	9126	6618	1.0
l rʲ	0.0	2	14418	16772	0.5
zʲ k	0.0	1	2018	30932	1.0
tʲ k	0.0	4	33763	30932	0.125
j rʲ	0.0	3	36528	16772	0.25
f d	0.0	1	5763	11859	1.0
b k	0.0	2	9086	30932	0.5
ts sʲ	0.0	1	14887	4787	1.0
tʲ ɡʲ	0.0	1	33763	2211	1.0
tʲ s	0.0	4	33763	36779	0.125
ɕ p	0.0	1	3580	24288	1.0
v tɕ	0.0	2	27065	12898	0.5
v t	0.0	3	27065	31043	0.25
rʲ dʲ	0.0	1	16772	5952	1.0
nʲ mʲ	0.0	1	16518	6233	1.0
m tʲ	0.0	2	12403	33763	0.5
k ɕ	0.0	1	30932	3580	1.0
tɕ s	0.0	2	12898	36779	0.5
v sʲ	0.0	1	27065	4787	1.0
s bʲ	0.0	1	36779	3704	1.0
p dʲ	0.0	1	24288	5952	1.0
nʲ s	0.0	2	16518	36779	0.5
rʲ ɡ	0.0	1	16772	9126	1.0
v pʲ	0.0	1	27065	6309	1.0
ts d	0.0	1	14887	11859	1.0
v ʂ	0.0	1	27065	6618	1.0
k dʲ	0.0	1	30932	5952	1.0
t dʲ	0.0	1	31043	5952	1.0
tɕ l	0.0	1	12898	14418	1.0
tʲ f	0.0	1	33763	5763	1.0
k pʲ	0.0	1	30932	6309	1.0
ʐ j	0.0	1	5455	36528	1.0
nʲ m	0.0	1	16518	12403	1.0
kʲ j	0.0	1	5776	36528	1.0
rʲ tɕ	0.0	1	16772	12898	1.0
dʲ s	0.0	1	5952	36779	1.0
p ɡ	0.0	1	24288	9126	1.0
n pʲ	0.0	1	37273	6309	1.0
j vʲ	0.0	1	36528	7473	1.0
k b	0.0	1	30932	9086	1.0
t b	0.0	1	31043	9086	1.0
ɡ k	0.0	1	9126	30932	1.0
b s	0.0	1	9086	36779	1.0
s b	0.0	1	36779	9086	1.0
z p	0.0	1	13880	24288	1.0
d k	0.0	1	11859	30932	1.0
tʲ d	0.0	1	33763	11859	1.0
rʲ p	0.0	1	16772	24288	1.0
