segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[c|d|t|ɖ|ɟ|ʈ] [ɕ|ʂ|ʐ|ʑ]	-strid +strid,-ant	0.0025	32652	106266	66430	0.0
[c|ɟ] [s|z|ɕ|ʂ|ʐ|ʑ]	-back,-strid +strid	0.0024	19848	19848	131976	0.0
[b|c|d|g|k|p|t|ɖ|ɟ|ʈ] [f|j|l|r|s|v|w|x|z|ɕ|ʂ|ʐ|ʑ]	-cont,-son +cont	0.0024	94189	197231	299444	0.0
[c|ɕ|ɟ|ɲ|ʑ] [c|ɕ|ɟ|ʑ]	+cons,-back -back,-son	0.0024	23161	74011	48328	0.0
[c|k|p|t|ʈ] [j|l|r|s|z|ɕ|ʂ|ʐ|ʑ]	-cont,-voice +cont,+cor	0.0024	72837	152638	232882	0.0
[c|ʈ] [c|ɕ|ɟ|ɲ|ʑ]	-ant,-strid,-voice +cons,-back	0.0024	17761	28615	74011	0.0
[c|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ] [ɕ|ʂ|ʐ|ʑ]	-ant,-son +strid,-ant	0.0024	31002	97404	66430	0.0
[c|ɖ|ɟ|ʈ] [c|j|ɕ|ɟ|ʑ]	-ant,-strid -ant,-back	0.0024	19848	30974	85638	0.0
[c|t|ʈ] [ɕ]	-strid,-voice +strid,-back,-voice	0.0024	17888	85286	25276	0.0
[c|ɕ|ʂ|ʈ] [ɕ]	-ant,-voice +strid,-back,-voice	0.0024	17756	84347	25276	0.0
[c|ɟ] [c|j|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ]	-back,-strid -ant	0.0024	19848	19848	134714	0.0
[c|f|k|p|s|t|x|ɕ|ʂ|ʈ] [s|ɕ|ʂ]	-voice +strid,-voice	0.0024	64476	276610	102227	0.0
[c|j|ɕ|ɟ|ʑ] [ɕ]	-ant,-back +strid,-back,-voice	0.0024	17838	85638	25276	0.0
[c|ɕ|ʂ|ʈ] [ɕ|ʂ|ʐ|ʑ]	-ant,-voice +strid,-ant	0.0024	28641	84347	66430	0.0
[c|ʈ] [l|r|s|z|ɕ|ʂ|ʐ|ʑ]	-ant,-strid,-voice +cons,+cont,+cor	0.0024	28615	28615	195572	0.0
[c|ɕ] [c|ɕ|ɟ|ɲ|ʑ]	-back,-voice +cons,-back	0.0024	21507	43037	74011	0.0
[b|c|d|g|k|p|t|ɖ|ɟ|ʈ] [f|s|x|z|ɕ|ʂ|ʐ|ʑ]	-cont,-son +cont,-son	0.0023	66158	197231	153721	0.0
[c|d|n|t|ɖ|ɟ|ɲ|ʈ] [s|z|ɕ|ʂ|ʐ|ʑ]	+cor,-cont +strid	0.0023	56595	169303	131976	0.0
[c] [f|s|x|ɕ|ʂ]	-back,-strid,-voice +cont,-voice	0.0023	17756	17761	123972	0.0
[c|ɖ|ɟ|ʈ] [f|l|r|s|x|z|ɕ|ʂ|ʐ|ʑ]	-ant,-strid +cons,+cont	0.0023	30974	30974	217317	0.0
[c|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ] [ɕ|ʑ]	-ant,-son +strid,-back	0.0023	19848	97404	28480	0.0
[c|ɕ|ɟ|ɲ|ʑ] [j|ɕ|ʑ]	+cons,-back +cont,-back	0.0023	26259	74011	65790	0.0
[c|ɖ|ɟ|ʈ] [c|s|t|ɕ|ʂ|ʈ]	-ant,-strid +cor,-voice	0.0023	28646	30974	187513	0.0
[c|d|n|t|ɖ|ɟ|ɲ|ʈ] [f|s|x|ɕ|ʂ]	+cor,-cont +cont,-voice	0.0023	54132	169303	123972	0.0
[b|c|d|f|g|k|p|s|t|x|z|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ] [j|l|r|s|z|ɕ|ʂ|ʐ|ʑ]	-son +cont,+cor	0.0023	106809	350952	232882	0.0
[c|ɕ|ɟ|ɲ|ʑ] [c|ɕ]	+cons,-back -back,-voice	0.0022	21013	74011	43037	0.0
[c|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ] [j|ɕ|ʂ|ʐ|ʑ]	-ant,-son +cont,-ant	0.0022	37422	97404	103740	0.0
[c|ɕ|ɟ|ɲ|ʑ] [c|j|ɕ|ɟ|ʑ]	+cons,-back -ant,-back	0.0022	29572	74011	85638	0.0
[c|ɕ|ɟ|ʑ] [j|ɕ|ʂ|ʐ|ʑ]	-back,-son +cont,-ant	0.0022	26261	48328	103740	0.0
[c|s|t|ɕ|ʂ|ʈ] [s|ɕ|ʂ]	+cor,-voice +strid,-voice	0.0022	51293	187513	102227	0.0
[c|f|k|p|s|t|x|ɕ|ʂ|ʈ] [f|s|x|ɕ|ʂ]	-voice +cont,-voice	0.0022	68586	276610	123972	0.0
[c|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ] [c|j|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ]	-ant,-son -ant	0.0022	42263	97404	134714	0.0
[b|c|d|f|g|k|p|s|t|x|z|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ] [b|c|d|f|g|j|k|l|m|n|p|r|s|t|v|w|x|z|ɕ|ɖ|ɟ|ɲ|ʂ|ʈ|ʐ|ʑ]	-son -syll	0.0022	166249	350952	578701	0.0
[c|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ] [c|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ]	-ant,-son -ant,-son	0.0022	35843	97404	97404	0.0
[c|ʈ] [ʂ]	-ant,-strid,-voice +back,+strid,-voice	0.0022	10846	28615	30456	0.0
[c|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ] [c|ɕ|ʂ|ʈ]	-ant,-son -ant,-voice	0.0022	33274	97404	84347	0.0
[c] [s|z|ɕ|ʂ|ʐ|ʑ]	-back,-strid,-voice +strid	0.0022	17761	17761	131976	0.0
[c|ɕ|ɟ|ʑ] [c|j|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ]	-back,-son -ant	0.0022	29573	48328	134714	0.0
[c|ɕ|ʂ|ʈ] [c|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ]	-ant,-voice -ant,-son	0.0022	33218	84347	97404	0.0
[c|d|t|ɖ|ɟ|ʈ] [f|j|l|r|s|v|w|x|z|ɕ|ʂ|ʐ|ʑ]	-strid +cont	0.0022	65189	106266	299444	0.0
[c|ɖ|ɟ|ʈ] [j|l|r|s|z|ɕ|ʂ|ʐ|ʑ]	-ant,-strid +cont,+cor	0.0022	30974	30974	232882	0.0
[b|c|d|f|g|k|p|s|t|x|z|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ] [c|d|j|l|n|r|s|t|z|ɕ|ɖ|ɟ|ɲ|ʂ|ʈ|ʐ|ʑ]	-son +cor	0.0022	136785	350952	402185	0.0
[c|d|t|ɖ|ɟ|ʈ] [c|s|t|ɕ|ʂ|ʈ]	-strid +cor,-voice	0.0021	51363	106266	187513	0.0
[c|d|t|ɖ|ɟ|ʈ] [ɕ|ʑ]	-strid +strid,-back	0.0021	19980	106266	28480	0.0
[c] [c|j|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ]	-back,-strid,-voice -ant	0.0021	17761	17761	134714	0.0
[c|d|n|t|ɖ|ɟ|ɲ|ʈ] [f|s|x|z|ɕ|ʂ|ʐ|ʑ]	+cor,-cont +cont,-son	0.0021	58570	169303	153721	0.0
