segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[s|t] [s'|ʃ']	+anterior,-cg,-sonorant,-voice +strident,-continuant	0.0019	92	437	92	0.0
[c|t|x] [s'|t'|ʃ']	-cg,-sonorant,-strident,-voice +cg,+coronal,-continuant	0.0019	92	307	131	0.0
[t|t'|ɬ] [s|s'|ɬ']	+anterior,-strident,-voice +anterior,+strident,-voice	0.0019	130	393	205	0.0
[t|t'] [s|ɬ'|ʃ]	+anterior,-lateral,-strident,-voice +continuant,+strident,-voice	0.0019	147	339	305	0.0
[c|t|t'] [s|ɬ'|ʃ]	-lateral,-strident,-voice +continuant,+strident,-voice	0.0019	147	339	305	0.0
[d|s'|t|t'] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	+anterior,-continuant,-lateral +strident	0.0019	296	647	651	0.0
[c|d|s'|t|t'|ɟ] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	-continuant,-lateral +strident	0.0019	296	647	651	0.0
[c|s|t|ʃ] [s'|ɬ'|ʃ']	+coronal,-cg,-sonorant,-voice +cg,+strident	0.0019	120	577	120	0.0
[c|k|p|s|t|x|ɬ|ʃ] [s|s'|ɬ'|ʃ|ʃ']	-cg,-voice +strident,-voice	0.0019	239	695	397	0.0
[t] [ʃ|ʃ']	+anterior,-cg,-lateral,-strident,-voice +strident,-anterior,-voice	0.0019	109	300	192	0.0
[c|t] [ʃ|ʃ']	-cg,-lateral,-voice +strident,-anterior,-voice	0.0019	109	300	192	0.0
[c|d|s'|t|t'|ɟ|ʃ'] [s|s'|ɬ'|ʃ|ʃ']	+coronal,-continuant,-sonorant +strident,-voice	0.0019	239	699	397	0.0
[t|t'|ɬ] [c|s|s'|t|t'|ɬ'|ʃ|ʃ']	+anterior,-strident,-voice +coronal,-sonorant,-voice	0.0019	244	393	736	0.0
[s'|t|t'] [c|s|s'|t|t'|ɬ'|ʃ|ʃ']	+anterior,-lateral,-voice +coronal,-sonorant,-voice	0.0019	239	379	736	0.0
[c|s'|t|t'] [c|s|s'|t|t'|ɬ'|ʃ|ʃ']	-lateral,-voice +coronal,-sonorant,-voice	0.0019	239	379	736	0.0
[c|t|t'|x] [s|ɬ'|ʃ]	-sonorant,-strident,-voice +continuant,+strident,-voice	0.0019	147	346	305	0.0
[t|t'|ɬ] [c|s|s'|t|t'|ɬ|ɬ'|ʃ|ʃ']	+anterior,-strident,-voice +coronal,-voice	0.0019	252	393	790	0.0
[t|t'] [s|x|ɬ'|ʃ]	+anterior,-lateral,-strident,-voice +continuant,-sonorant,-voice	0.0019	147	339	312	0.0
[c|t|t'] [s|x|ɬ'|ʃ]	-lateral,-strident,-voice +continuant,-sonorant,-voice	0.0019	147	339	312	0.0
[s'|t|t'] [c|s|s'|t|t'|ɬ|ɬ'|ʃ|ʃ']	+anterior,-lateral,-voice +coronal,-voice	0.0019	247	379	790	0.0
[c|s'|t|t'] [c|s|s'|t|t'|ɬ|ɬ'|ʃ|ʃ']	-lateral,-voice +coronal,-voice	0.0019	247	379	790	0.0
[c|s'|t|t'|ʃ'] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	+coronal,-continuant,-voice +strident	0.0019	239	431	651	0.0
[s|t] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	+anterior,-cg,-sonorant,-voice +strident	0.0019	240	437	651	0.0
[b|c|d|g|k|p|t|ɟ] [s|s'|ɬ'|ʃ|ʃ']	-cg,-continuant +strident,-voice	0.0019	239	711	397	0.0
[c|t|x] [ʃ|ʃ']	-cg,-sonorant,-strident,-voice +strident,-anterior,-voice	0.0019	109	307	192	0.0
[t|ɬ] [c|k|k'|p|s|s'|t|t'|x|ɬ|ɬ'|ʃ|ʃ']	+anterior,-cg,-strident,-voice -voice	0.0019	254	354	908	0.0
[c|t|ɬ] [c|k|k'|p|s|s'|t|t'|x|ɬ|ɬ'|ʃ|ʃ']	+coronal,-cg,-strident,-voice -voice	0.0019	254	354	908	0.0
[s|s'|t|t'|ɬ|ɬ'] [s'|ɬ'|ʃ']	+anterior,-voice +cg,+strident	0.0019	120	598	120	0.0
[t|t'] [s'|ɬ']	+anterior,-lateral,-strident,-voice +anterior,+cg,+strident	0.0018	68	339	68	0.0
[c|t|t'] [s'|ɬ']	-lateral,-strident,-voice +anterior,+cg,+strident	0.0018	68	339	68	0.0
[t|ɬ] [c|k|k'|p|s|s'|t|t'|x|ɬ'|ʃ|ʃ']	+anterior,-cg,-strident,-voice -sonorant,-voice	0.0018	246	354	854	0.0
[c|t|ɬ] [c|k|k'|p|s|s'|t|t'|x|ɬ'|ʃ|ʃ']	+coronal,-cg,-strident,-voice -sonorant,-voice	0.0018	246	354	854	0.0
[c|t|t'|x] [s|x|ɬ'|ʃ]	-sonorant,-strident,-voice +continuant,-sonorant,-voice	0.0018	147	346	312	0.0
[t|ɬ] [s|ɬ'|ʃ]	+anterior,-cg,-strident,-voice +continuant,+strident,-voice	0.0018	147	354	305	0.0
[c|t|ɬ] [s|ɬ'|ʃ]	+coronal,-cg,-strident,-voice +continuant,+strident,-voice	0.0018	147	354	305	0.0
[t|t'] [k'|s'|t'|ɬ'|ʃ']	+anterior,-lateral,-strident,-voice +cg,-voice	0.0018	120	339	213	0.0
[c|t|t'] [k'|s'|t'|ɬ'|ʃ']	-lateral,-strident,-voice +cg,-voice	0.0018	120	339	213	0.0
[c|k|p|t] [s|ɬ'|ʃ]	-cg,-continuant,-voice +continuant,+strident,-voice	0.0018	147	357	305	0.0
[t|t'] [c|k|k'|p|s|s'|t|t'|x|ɬ|ɬ'|ʃ|ʃ']	+anterior,-lateral,-strident,-voice -voice	0.0018	247	339	908	0.0
[c|t|t'] [c|k|k'|p|s|s'|t|t'|x|ɬ|ɬ'|ʃ|ʃ']	-lateral,-strident,-voice -voice	0.0018	247	339	908	0.0
[d|t|t'] [s'|ɬ'|ʃ']	+anterior,-lateral,-strident +cg,+strident	0.0018	120	607	120	0.0
[c|d|t|t'|ɟ] [s'|ɬ'|ʃ']	-lateral,-strident +cg,+strident	0.0018	120	607	120	0.0
[d|t|z] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	+anterior,-cg,-lateral +strident	0.0018	296	681	651	0.0
[c|d|t|z|ɟ] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	-cg,-lateral +strident	0.0018	296	681	651	0.0
[t|t'] [c|k|k'|p|s|s'|t|t'|x|ɬ'|ʃ|ʃ']	+anterior,-lateral,-strident,-voice -sonorant,-voice	0.0018	239	339	854	0.0
[c|t|t'] [c|k|k'|p|s|s'|t|t'|x|ɬ'|ʃ|ʃ']	-lateral,-strident,-voice -sonorant,-voice	0.0018	239	339	854	0.0
[c|t|t'|x] [s'|ɬ']	-sonorant,-strident,-voice +anterior,+cg,+strident	0.0018	68	346	68	0.0
[t|ɬ] [s|x|ɬ'|ʃ]	+anterior,-cg,-strident,-voice +continuant,-sonorant,-voice	0.0018	147	354	312	0.0
[c|t|ɬ] [s|x|ɬ'|ʃ]	+coronal,-cg,-strident,-voice +continuant,-sonorant,-voice	0.0018	147	354	312	0.0
