segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[s|t|ʂ] [ɕ]	+back,+cor,-voice -ant,-back,-voice	0.0009	12923	117112	16478	0.0
[s|t|ʂ] [ɕ|ʑ]	+back,+cor,-voice +strid,-ant,-back	0.0009	12923	117112	16483	0.0
[d|t] [ɕ|ʂ|ʐ|ʑ]	+back,-strid +strid,-ant	0.0009	13212	70687	28556	0.0
[s|sʲ|t|tʲ] [f|fʲ|k|kʲ|p|pʲ|s|sʲ|t|tʲ|x|xʲ|ɕ|ʂ]	+ant,-voice -voice	0.0009	57010	149044	252354	0.0
[s|t|ʂ] [b|bʲ|d|dʲ|f|fʲ|j|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|v|vʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+back,+cor,-voice -syll	0.0009	74405	117112	547104	0.0
[s|t|ʂ] [d|dʲ|s|sʲ|t|tʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,+cor,-voice +cor,-son	0.0009	46166	117112	211309	0.0
[f|k|p|s|t|x|ʂ] [d|dʲ|j|l|lʲ|n|nʲ|r|rʲ|s|sʲ|t|tʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-voice +cor	0.0009	78202	182851	389533	0.0
[s|t] [b|bʲ|d|dʲ|f|fʲ|j|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|v|vʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+ant,+back,-voice -syll	0.0009	72026	110494	547104	0.0
[t|tʲ] [sʲ|ɕ]	-strid,-voice +strid,-back,-voice	0.0009	12984	92591	21265	0.0
[b|d|f|k|p|s|t|x|z|ɡ|ɣ|ʂ|ʐ] [f|fʲ|l|lʲ|r|rʲ|s|sʲ|x|xʲ|z|zʲ|ɕ|ɣ|ʂ|ʐ|ʑ]	+back,-son +cons,+cont	0.0009	63308	232313	201777	0.0
[b|d|k|m|n|p|t|ɡ] [f|fʲ|l|lʲ|r|rʲ|s|sʲ|x|xʲ|z|zʲ|ɕ|ɣ|ʂ|ʐ|ʑ]	+back,-cont +cons,+cont	0.0009	57683	193795	201777	0.0
[b|bʲ|d|dʲ|f|fʲ|j|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|v|vʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ] [b|bʲ|d|dʲ|f|fʲ|j|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|v|vʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	-syll -syll	0.0009	159450	547104	547104	0.0
[f|k|p|s|t|x|ʂ] [s|sʲ|t|tʲ|ɕ|ʂ]	+back,-voice +cor,-voice	0.0009	51592	182851	172140	0.0
[t] [j|l|lʲ|r|rʲ|s|sʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-strid,-voice +cont,+cor	0.0008	33426	58828	225340	0.0
[t|tʲ] [s|sʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	-strid,-voice +strid	0.0008	28053	92591	100907	0.0
[b|d|f|k|l|m|n|p|r|s|t|x|z|ɡ|ɣ|ʂ|ʐ] [d|dʲ|l|lʲ|n|nʲ|r|rʲ|s|sʲ|t|tʲ|z|zʲ]	+back,+cons +ant	0.0008	95146	332850	324449	0.0
[d|s|t|z] [b|bʲ|d|dʲ|f|fʲ|k|kʲ|p|pʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ]	+ant,+back,-son -son	0.0008	60024	136233	315706	0.0
[t] [s|sʲ|t|tʲ|ɕ|ʂ]	+back,-strid,-voice +cor,-voice	0.0008	29116	58828	172140	0.0
[d|l|n|r|s|t|z] [f|fʲ|k|kʲ|p|pʲ|s|sʲ|t|tʲ|x|xʲ|ɕ|ʂ]	+ant,+back -voice	0.0008	68774	224367	252354	0.0
[d|s|t|z|ʂ|ʐ] [s|sʲ|t|tʲ|ɕ|ʂ]	+back,+cor,-son +cor,-voice	0.0008	46159	148306	172140	0.0
[f|k|p|s|t|x|ʂ] [l|lʲ|r|rʲ|s|sʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+back,-voice +cons,+cont,+cor	0.0008	53676	182851	188812	0.0
[k|p|t] [f|fʲ|s|sʲ|x|xʲ|ɕ|ʂ]	+back,-cont,-voice +cont,-voice	0.0008	29638	114048	92458	0.0
[b|bʲ|d|dʲ|f|fʲ|k|kʲ|l|lʲ|m|mʲ|n|nʲ|p|pʲ|r|rʲ|s|sʲ|t|tʲ|x|xʲ|z|zʲ|ɕ|ɡ|ɡʲ|ɣ|ʂ|ʐ|ʑ] [d|dʲ|l|lʲ|n|nʲ|r|rʲ|s|sʲ|t|tʲ|z|zʲ|ɕ|ʂ|ʐ|ʑ]	+cons +cons,+cor	0.0008	118110	476038	353005	0.0
[s|t|ʂ] [f|fʲ|s|sʲ|x|xʲ|ɕ|ʂ]	+back,+cor,-voice +cont,-voice	0.0008	29962	117112	92458	0.0
[d|l|n|r|s|t|z|ʂ|ʐ] [f|fʲ|k|kʲ|p|pʲ|s|sʲ|t|tʲ|x|xʲ|ɕ|ʂ]	+back,+cor -voice	0.0008	70207	236440	252354	0.0
[b|d|f|k|l|m|n|p|r|s|t|v|x|z|ɡ|ɣ|ʂ|ʐ] [d|dʲ|l|lʲ|n|nʲ|r|rʲ|s|sʲ|t|tʲ|z|zʲ]	+back,-syll +ant	0.0008	98165	359915	324449	0.0
