segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[ʃ|s] [t|ɟ|d|c]	-voice,+strid -strid	0.0001	3278	31461	58343	0.0
[ʃ|s] [t|d]	-voice,+strid -strid,+ant	0.0001	3269	31461	58147	0.0
[ʒ|ʃ|z|s] [t|k|p|c]	+strid -voice,-cont	0.0001	4425	54920	61053	0.0
[ʃ|ʎ|f|v|s|j|r|l|h|ʒ|z] [d|z]	-syll,+cont +voice,+ant	0.0001	5361	145257	33908	0.0
[t|ʃ|f|s|r|p|z|b|ʒ|ɟ|d|v|ʎ|h|k|n|j|ɲ|c|l|m|ɡ] [n|ʎ|j|r|ɲ|l|m]	-syll -syll,+son	0.0001	15274	306794	130482	0.0
[ʃ|f|v|s|h|ʒ|z] [t|ʃ|ɟ|d|n|s|ʎ|r|ɲ|c|l|ʒ|z]	-son,+cont +cor,+cons	0.0001	8908	73731	184948	0.0
[r] [ɟ|d|v|b|ʒ|z|ɡ]	-lat +voice	0.0001	3434	28695	70640	0.0
[ʃ|ʎ|s|r|l|ʒ|z] [d|z]	+cor,+cons,+cont +voice,+ant	0.0001	4579	106321	33908	0.0
[t|ʃ|s|c] [t|n|d|s|r|l|z]	+cor,-voice +ant	0.0001	7452	63509	150599	0.0
[s] [t|ɟ|d|p|b|c|k|ɡ]	+ant,-voice,+cont -nas,-cont	0.0001	3047	15598	102581	0.0
[s] [t|ʃ|s|c]	+ant,-voice,+cont +cor,-voice	0.0001	2395	15598	63509	0.0
[n|ɲ|m] [t|ʃ|ɟ|d|n|s|ʎ|j|r|ɲ|c|l|ʒ|z]	+nas +cor	0.0001	8364	58956	205073	0.0
[ʒ|ʃ|z|s] [t|c]	+strid -strid,-voice	0.0001	3190	54920	32048	0.0
[ʒ|ʃ|z|s] [t]	+strid -strid,+ant,-voice	0.0001	3190	54920	32048	0.0
[t|ʃ|s|c] [t|n|ɟ|d|ɲ|c]	+cor,-voice +cor,-cont	0.0001	5373	63509	78627	0.0
[t|ʃ|s|c] [t|n|d]	+cor,-voice +ant,-cont	0.0001	5360	63509	78431	0.0
[ʃ|f|v|s|h|ʒ|z] [t|ʃ|f|s|p|c|h|k]	-son,+cont -voice	0.0001	6686	73731	105672	0.0
[ʃ|ʎ|j|s|r|l|ʒ|z] [t|ʃ|s|c]	+cor,+cont +cor,-voice	0.0001	6787	126446	63509	0.0
[t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ] [d]	-cont -strid,+voice,+ant	0.0001	4916	161537	26099	0.0
[t|n|ɟ|d|p|ɲ|b|c|k|m|ɡ] [ɟ|d]	-cont -strid,+voice	0.0001	4933	161537	26295	0.0
