ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
r m	0.0	1	127	1275	1.0
ũ b	0.0	1	92	1855	1.0
r ŋ	0.0	1	127	1349	1.0
ɛ̃ d	0.0	1	199	908	1.0
ɛ̃ e	0.0	1	199	913	1.0
ɔ h	0.0	1	1676	112	1.0
ũ ɡ	0.0	1	92	2124	1.0
k ĩ	0.0	1	1864	115	1.0
m o	0.0	3	1275	1597	0.25
r b	0.0	1	127	1855	1.0
ŋ ɔ̃	0.0	1	1349	176	1.0
ɔ̃ ŋ	0.0	1	176	1349	1.0
ɡ ĩ	0.0	1	2124	115	1.0
ã e	0.0	1	275	913	1.0
m ɛ̃	0.0	1	1275	199	1.0
ɔ̃ o	0.0	1	176	1597	1.0
n ã	0.0	1	1116	275	1.0
e f	0.0	1	913	345	1.0
ɔ̃ b	0.0	1	176	1855	1.0
i ɛ̃	0.0	1	1702	199	1.0
ŋ ã	0.0	1	1349	275	1.0
i e	0.0	2	1702	913	0.5
a ũ	0.0	1	4385	92	1.0
u e	0.0	2	1820	913	0.5
e a	0.0	3	913	4385	0.25
ã i	0.0	1	275	1702	1.0
a ĩ	0.0	1	4385	115	1.0
u ɛ	0.0	2	1820	1923	0.5
m e	0.0	1	1275	913	1.0
e o	0.0	1	913	1597	1.0
k t	0.0	1	1864	800	1.0
e ɔ	0.0	1	913	1676	1.0
a o	0.0	2	4385	1597	0.5
k n	0.0	1	1864	1116	1.0
ɡ n	0.0	1	2124	1116	1.0
n ɡ	0.0	1	1116	2124	1.0
ɔ i	0.0	1	1676	1702	1.0
l ŋ	0.0	1	2378	1349	1.0
o a	0.0	1	1597	4385	1.0
a ɛ	0.0	1	4385	1923	1.0
