segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[s|ʒ|l|g|ɟ|t|k|b|ɹ|d|h|c|z|ð|ʃ|f|v|p|θ] [s|ʒ|l|j|ɹ|h|z|ð|ʃ|f|v|w|θ]	-nasal,+consonantal +continuant,-syllabic	0.0013	47938	271693	157949	0.0
[n|ɟ|t|d|c] [s|ɹ|g|p|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|l|h|ʃ|ʒ|c]	+coronal,-continuant -nasal,-syllabic	0.0013	38323	97785	281068	0.0
[ɟ|t|k|b|d|c|g|p] [s|ʒ|l|ɟ|t|ɹ|d|c|z|ð|ʃ|θ]	-sonorant,-continuant -nasal,+coronal	0.0013	35723	123119	194004	0.0
[s|ʒ|l|g|ɟ|t|k|b|ɹ|d|h|c|z|ð|ʃ|f|v|p|θ] [s|ɹ|g|ŋ|p|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c]	-nasal,+consonantal +consonantal	0.0013	69083	271693	329528	0.0
[t|d|c|ɟ] [ʒ|ʃ]	-strident,-continuant +strident,-anterior	0.0013	6815	64901	13494	0.0
[ʃ|c] [ʃ|c]	-voice,-anterior -voice,-anterior	0.0013	2738	11892	11892	0.0
[ɟ] [ʒ|g|ɟ|b|d|z|ð|v]	+voice,-continuant,-anterior +voice	0.0013	4002	4002	75558	0.0
[s|ɹ|g|p|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|l|h|ʃ|ʒ|c] [s|ʒ|l|n|ɟ|t|ɹ|d|c|z|ð|ʃ|θ]	-nasal,-syllabic +coronal	0.0012	57888	281068	226888	0.0
[m|ŋ|n|ɟ|t|k|b|d|c|g|p] [s|ʒ|g|ɟ|t|k|b|d|h|c|z|ð|ʃ|f|v|p|θ]	-continuant -sonorant	0.0012	45159	180954	215415	0.0
[c|ɟ] [s|ʒ|l|ɹ|z|ð|ʃ|θ]	-continuant,-anterior +continuant,+coronal	0.0012	6732	6732	129103	0.0
[s|ɹ|g|p|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|l|h|ʃ|ʒ|c] [s|ʒ|l|j|ɹ|h|z|ð|ʃ|f|v|w|θ]	-nasal,-syllabic +continuant,-syllabic	0.0012	47939	281068	157949	0.0
[ʒ|ɟ|ɹ|c|ʃ] [ʒ|ʃ|c|ɟ]	-anterior -sonorant,-anterior	0.0012	7037	47375	20226	0.0
[s|ɹ|g|p|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|l|h|ʃ|ʒ|c] [s|ɹ|g|ŋ|p|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c]	-nasal,-syllabic +consonantal	0.0012	69083	281068	329528	0.0
[s|ʒ|l|n|ɟ|t|ɹ|d|c|z|ð|ʃ|θ] [s|ʒ|l|n|ɟ|t|ɹ|d|c|z|ð|ʃ|θ]	+coronal +coronal	0.0012	51416	226888	226888	0.0
[ɟ|t|d|c|ð|θ] [ʒ|ʃ]	-strident,-sonorant +strident,-anterior	0.0012	6817	67086	13494	0.0
[s|ʒ|g|ɟ|t|k|b|d|h|c|z|ð|ʃ|f|v|p|θ] [s|ɹ|g|ŋ|p|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c]	-sonorant +consonantal	0.0012	60176	215415	329528	0.0
[s|l|n|t|d|z|ð|θ] [s|ɹ|g|p|ŋ|w|j|ɟ|t|k|b|d|z|ð|f|v|θ|m|l|n|h|ʃ|ʒ|c]	+anterior -syllabic	0.0012	55624	179513	338903	0.0
[s|l|n|t|d|z|ð|θ] [s|ʒ|l|g|ɟ|t|k|b|ɹ|d|h|c|z|ð|ʃ|f|v|p|θ]	+anterior -nasal,+consonantal	0.0012	49803	179513	271693	0.0
