segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[t|k|p] [l|j|ɹ|w|v|ð|ʒ|z|s|ʃ|h|f|θ]	-voice,-continuant +continuant,-syllabic	0.0013	24415	79327	157949	0.0
[b|p|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [l|ɹ|v|ð|ʒ|z|s|ʃ|h|f|θ]	-sonorant +consonantal,+continuant	0.0013	38819	215415	148574	0.0
[s] [t|k|p]	-voice,+strident,+anterior -voice,-continuant	0.0013	11670	36515	79327	0.0
[d] [ʒ|ʃ]	+voice,-strident,-continuant -anterior,+strident	0.0013	4050	25859	13494	0.0
[b|p|d|k|t|g] [l|w|j|ɹ]	-continuant,-sonorant +sonorant,+continuant,-syllabic	0.0013	19488	123119	65653	0.0
[l|n|ð|z|d|s|θ|t] [ð|z|d|s|θ|t]	+anterior +anterior,-sonorant	0.0013	32874	186245	124232	0.0
[t|d|n] [w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ]	-continuant,+coronal -syllabic	0.0013	39306	97785	338903	0.0
[b|n|p|ŋ|d|m|k|t|g] [ʒ|ɹ|ʃ]	-continuant -anterior	0.0013	18494	180954	40643	0.0
[b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [l|ɹ|ʒ|ð|z|s|ʃ|θ]	-nasal,+consonantal +coronal,+continuant	0.0013	40325	271693	129103	0.0
[ð|d] [ʒ|ʃ]	+voice,-strident -anterior,+strident	0.0013	4050	26450	13494	0.0
[t|d|n] [ʒ|z|s|ʃ]	-continuant,+coronal +strident	0.0013	17808	97785	70640	0.0
[b|p|d|k|t|g] [j|w|ɹ]	-continuant,-sonorant -lateral,+continuant	0.0013	14337	123119	36524	0.0
[l|n] [ð|z|d|s|θ|t]	+sonorant,+anterior +anterior,-sonorant	0.0013	18761	62013	124232	0.0
[t|d|n] [ʒ|ð|z|s|ʃ|θ]	-continuant,+coronal +coronal,+continuant,-sonorant	0.0013	17998	97785	72825	0.0
[b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g] [ɹ|ð|d|θ|t]	+consonantal -strident	0.0013	37541	329528	94235	0.0
[θ|s] [t|k|p]	-voice,+anterior,+continuant -voice,-continuant	0.0013	11711	38109	79327	0.0
[b|n|p|ŋ|d|m|k|t|g] [ʒ|z|s|ʃ]	-continuant +strident	0.0013	24048	180954	70640	0.0
[n] [l|ð|z|d|s|θ|t]	-continuant,-lateral -nasal,+anterior	0.0013	15076	32884	153361	0.0
[b|l|p|ɹ|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [l|ɹ|v|ð|ʒ|z|s|ʃ|h|f|θ]	-nasal,+consonantal +consonantal,+continuant	0.0012	42577	271693	148574	0.0
[t|d|n] [b|p|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g]	-continuant,+coronal -sonorant	0.0012	30747	97785	215415	0.0
[θ|ð|t|d] [ʒ|ɹ|ʃ]	-strident,+anterior -anterior	0.0012	11058	67086	40643	0.0
[b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [l|ɹ|ʒ|ð|z|s|ʃ|θ]	-nasal,-syllabic +coronal,+continuant	0.0012	40325	281068	129103	0.0
[b|n|p|ŋ|d|m|k|t|g] [ʒ|ð|z|s|ʃ|θ]	-continuant +coronal,+continuant,-sonorant	0.0012	24286	180954	72825	0.0
[p|s|ʃ|k|h|f|θ|t] [l|n|ɹ|ʒ|ð|z|d|s|ʃ|θ|t]	-voice +coronal	0.0012	37545	139857	226888	0.0
[t|d] [ʒ|ɹ|ʃ]	-strident,-continuant -anterior	0.0012	10820	64901	40643	0.0
[b|n|p|ŋ|d|m|k|t|g] [l|ð|z|d|s|θ|t]	-continuant -nasal,+anterior	0.0012	35049	180954	153361	0.0
[l|n|ð|z|d|s|θ|t] [l|ð|z|d|s|θ|t]	+anterior -nasal,+anterior	0.0012	35545	186245	153361	0.0
[b|p|d|k|t|g] [w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ]	-continuant,-sonorant -syllabic	0.0012	42924	123119	338903	0.0
[w|ɹ|m|j|g|l|p|ʒ|ŋ|f|θ|b|n|v|ð|z|d|s|t|k|h|ʃ] [ɹ|ð|d|θ|t]	-syllabic -strident	0.0012	37541	338903	94235	0.0
[t|d|n] [l|ɹ|ʒ|ð|z|s|ʃ|θ]	-continuant,+coronal +coronal,+continuant	0.0012	23495	97785	129103	0.0
[b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g] [p|s|ʃ|k|h|f|θ|t]	+consonantal -voice	0.0012	44838	329528	139857	0.0
[t|d|n] [l|ɹ|v|ð|ʒ|z|s|ʃ|h|f|θ]	-continuant,+coronal +consonantal,+continuant	0.0012	25168	97785	148574	0.0
[b|l|j|p|ɹ|w|v|ð|ʒ|z|d|s|ʃ|k|h|f|θ|t|g] [l|ɹ|v|ð|ʒ|z|s|ʃ|h|f|θ]	-nasal,-syllabic +consonantal,+continuant	0.0012	42577	281068	148574	0.0
[t|k|p] [l|ɹ|ʒ|ð|z|s|ʃ|θ]	-voice,-continuant +coronal,+continuant	0.0012	21038	79327	129103	0.0
[p|s|ʃ|k|h|f|θ|t] [b|l|n|p|ɹ|v|ð|ʒ|z|d|s|m|ŋ|ʃ|k|h|f|θ|t|g]	-voice +consonantal	0.0012	44578	139857	329528	0.0
