segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[f|s|b|k|ʒ|ɡ|m|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	-approx -nasal,+cons	0.0006	5828	34852	33322	0.0
[f|s|b|k|ʒ|ɡ|z|χ|h|ʃ|t|p|d] [f|s|l|ʒ|w|j|v|h|χ|z|ʃ|ʁ]	+cons,-son +cont,-syllabic	0.0006	4039	26276	21242	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	+cons +cons,-nasal,-lateral	0.0006	6011	40605	30498	0.0
[f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	-syllabic +cons,-nasal,-lateral	0.0006	6256	44006	30498	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	-lateral +cons,-nasal,-lateral	0.0006	5882	39074	30498	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	-lateral +cons,-lateral	0.0006	6542	39074	37781	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d]	-nasal,+cons -lateral	0.0006	6116	33322	39074	0.0
[f|s|b|k|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|l|ʒ|w|j|v|h|χ|z|ʃ|ʁ]	+cons,-nasal,-lateral +cont,-syllabic	0.0006	4313	30498	21242	0.0
[f|s|b|k|ʒ|ɡ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	+cons,-approx -nasal,+cons	0.0006	5665	33559	33322	0.0
[f|s|b|k|ʒ|ɡ|m|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	-approx +cons	0.0006	6370	34852	40605	0.0
[f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d]	-nasal,-syllabic -lateral	0.0006	6413	36723	39074	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	+cons,-lateral +cons,-nasal,-lateral	0.0006	5746	37781	30498	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	+cons,-lateral +cons,-lateral	0.0006	6390	37781	37781	0.0
[b|k|ɡ|t|p|d] [s|ʃ]	-delrel -voice,+strid	0.0006	1481	15481	4954	0.0
[f|s|k|ʃ|h|χ|t|p] [s]	-voice +cont,-voice,+ant	0.0006	1431	21086	3396	0.0
[t] [l|s|ʒ|ʃ|z]	-strid,-voice +cons,+cont,+cor	0.0006	1344	7225	8768	0.0
[f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d]	-nasal,-lateral -lateral	0.0006	5944	31791	39074	0.0
[f|s|b|k|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d]	+cons,-nasal,-lateral -lateral	0.0006	5792	30498	39074	0.0
[f|s|b|k|ʒ|ɡ|m|n|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	+cons,-approx +cons	0.0006	6191	33559	40605	0.0
[s|ʃ|t] [s|ʃ]	-voice,+cor -voice,+strid	0.0006	1301	12179	4954	0.0
[f|s|k|ʃ|h|χ|t|p] [f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d]	-voice -nasal,-syllabic	0.0006	4660	21086	36723	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|l|ʒ|w|j|v|h|χ|z|ʃ|ʁ]	-nasal,+cons +cont,-syllabic	0.0006	4454	33322	21242	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d]	-nasal,+cons -nasal,-lateral	0.0006	5445	33322	31791	0.0
