segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[s|t] [xʲ|ʂ|s|sʲ|x|f|ɕ|fʲ]	-voice,+ant,+back +cont,-voice	0.0009	29926	110494	92458	0.0
[d|t] [xʲ|z|r|ɣ|ʂ|s|sʲ|zʲ|ʐ|lʲ|rʲ|ʑ|x|f|ɕ|l|fʲ]	-strid,+back +cont,+cons	0.0009	35264	70687	201777	0.0
[b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|ʑ|bʲ|kʲ|pʲ|ʂ|zʲ|ʐ|k|ɕ|p|ɡ|ɡʲ|x|d] [mʲ|b|ɣ|s|sʲ|v|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|vʲ|j|d|n]	-son -syll	0.0009	122549	315706	547104	0.0
[ʂ|s|t] [ɕ]	+cor,-voice,+back -back,-ant,-voice	0.0009	12923	117112	16478	0.0
[ʂ|s|t] [ʑ|ɕ]	+cor,-voice,+back -back,-ant,+strid	0.0009	12923	117112	16483	0.0
[d|t] [ʑ|ʐ|ʂ|ɕ]	-strid,+back -ant,+strid	0.0009	13212	70687	28556	0.0
[s|sʲ|tʲ|t] [xʲ|ʂ|s|sʲ|t|x|f|k|kʲ|pʲ|tʲ|ɕ|fʲ|p]	+ant,-voice -voice	0.0009	57010	149044	252354	0.0
[ʂ|s|t] [mʲ|b|ɣ|s|sʲ|v|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|vʲ|j|d|n]	+cor,-voice,+back -syll	0.0009	74405	117112	547104	0.0
[ʂ|s|t] [z|ʂ|s|sʲ|zʲ|ʐ|t|ʑ|d|tʲ|ɕ|dʲ]	+cor,-voice,+back +cor,-son	0.0009	46166	117112	211309	0.0
[ʂ|s|t|x|f|k|p] [r|z|ʂ|s|sʲ|zʲ|ʐ|lʲ|rʲ|nʲ|t|ʑ|j|d|tʲ|ɕ|n|l|dʲ]	-voice,+back +cor	0.0009	78202	182851	389533	0.0
[s|t] [mʲ|b|ɣ|s|sʲ|v|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|vʲ|j|d|n]	-voice,+ant,+back -syll	0.0009	72026	110494	547104	0.0
[tʲ|t] [ɕ|sʲ]	-strid,-voice -back,-voice,+strid	0.0009	12984	92591	21265	0.0
[b|z|ɣ|ʂ|s|ʐ|ɡ|t|x|f|k|d|p] [xʲ|z|r|ɣ|ʂ|s|sʲ|zʲ|ʐ|lʲ|rʲ|ʑ|x|f|ɕ|l|fʲ]	-son,+back +cont,+cons	0.0009	63308	232313	201777	0.0
[b|ɡ|m|t|k|d|n|p] [xʲ|z|r|ɣ|ʂ|s|sʲ|zʲ|ʐ|lʲ|rʲ|ʑ|x|f|ɕ|l|fʲ]	-cont,+back +cont,+cons	0.0009	57683	193795	201777	0.0
[mʲ|b|ɣ|s|sʲ|v|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|vʲ|j|d|n] [mʲ|b|ɣ|s|sʲ|v|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|vʲ|j|d|n]	-syll -syll	0.0009	159450	547104	547104	0.0
[ʂ|s|t|x|f|k|p] [ʂ|s|sʲ|t|tʲ|ɕ]	-voice,+back +cor,-voice	0.0009	51592	182851	172140	0.0
[t] [r|z|ʂ|zʲ|s|sʲ|ʐ|lʲ|rʲ|ʑ|j|ɕ|l]	-strid,-voice,+back +cor,+cont	0.0008	33426	58828	225340	0.0
[tʲ|t] [z|ʂ|zʲ|s|sʲ|ʐ|ʑ|ɕ]	-strid,-voice +strid	0.0008	28053	92591	100907	0.0
[r|b|z|ɣ|ʂ|s|ʐ|m|ɡ|t|x|f|k|d|l|n|p] [r|z|s|sʲ|zʲ|lʲ|rʲ|nʲ|t|d|tʲ|l|n|dʲ]	+back,+cons +ant	0.0008	95146	332850	324449	0.0
[z|s|d|t] [b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|ʑ|bʲ|kʲ|pʲ|ʂ|zʲ|ʐ|k|ɕ|p|ɡ|ɡʲ|x|d]	+ant,-son,+back -son	0.0008	60024	136233	315706	0.0
[t] [ʂ|s|sʲ|t|tʲ|ɕ]	-strid,-voice,+back +cor,-voice	0.0008	29116	58828	172140	0.0
[r|z|s|t|d|l|n] [xʲ|ʂ|s|sʲ|t|x|f|k|kʲ|pʲ|tʲ|ɕ|fʲ|p]	+back,+ant -voice	0.0008	68774	224367	252354	0.0
[z|ʂ|s|ʐ|t|d] [ʂ|s|sʲ|t|tʲ|ɕ]	+cor,-son,+back +cor,-voice	0.0008	46159	148306	172140	0.0
[ʂ|s|t|x|f|k|p] [r|z|ʂ|zʲ|s|sʲ|ʐ|lʲ|rʲ|ʑ|ɕ|l]	-voice,+back +cor,+cont,+cons	0.0008	53676	182851	188812	0.0
[t|k|p] [xʲ|ʂ|s|sʲ|x|f|ɕ|fʲ]	-cont,-voice,+back +cont,-voice	0.0008	29638	114048	92458	0.0
[mʲ|b|ɣ|s|sʲ|t|f|tʲ|fʲ|dʲ|xʲ|z|m|ʑ|bʲ|kʲ|pʲ|r|ʂ|zʲ|ʐ|lʲ|rʲ|nʲ|k|ɕ|l|p|ɡ|ɡʲ|x|d|n] [r|z|ʂ|s|sʲ|zʲ|ʐ|lʲ|rʲ|nʲ|t|ʑ|d|tʲ|ɕ|n|l|dʲ]	+cons +cor,+cons	0.0008	118110	476038	353005	0.0
[ʂ|s|t] [xʲ|ʂ|s|sʲ|x|f|ɕ|fʲ]	+cor,-voice,+back +cont,-voice	0.0008	29962	117112	92458	0.0
[r|z|ʂ|s|ʐ|t|d|l|n] [xʲ|ʂ|s|sʲ|t|x|f|k|kʲ|pʲ|tʲ|ɕ|fʲ|p]	+cor,+back -voice	0.0008	70207	236440	252354	0.0
[r|b|z|ɣ|ʂ|s|ʐ|v|m|ɡ|t|x|f|k|d|l|n|p] [r|z|s|sʲ|zʲ|lʲ|rʲ|nʲ|t|d|tʲ|l|n|dʲ]	-syll,+back +ant	0.0008	98165	359915	324449	0.0
